player_key,name,position,s1_reg_sk_gp,s1_reg_g,s1_reg_a,s1_reg_pts,s1_reg_g_gp,s1_reg_sv,s1_reg_gaa,s1_reg_sv_pct,s1_po_sk_gp,s1_po_g,s1_po_a,s1_po_pts,s1_po_g_gp,s1_po_sv,s1_po_gaa,s1_po_sv_pct,s2_reg_sk_gp,s2_reg_g,s2_reg_a,s2_reg_pts,s2_reg_g_gp,s2_reg_sv,s2_reg_gaa,s2_reg_sv_pct,s2_po_sk_gp,s2_po_g,s2_po_a,s2_po_pts,s2_po_g_gp,s2_po_sv,s2_po_gaa,s2_po_sv_pct
,Kadri,Skater/Goalie,4,0,3,3,5,36,2.8,0.72,,,,,,,,,,,,,,,,,,,,,,,,
,KANE,Skater,5,0,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KeepItKrusty,Skater,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KNODEL,Skater/Goalie,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,kolt,Skater/Goalie,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,lain,Skater,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,LePuckuer,Skater,21,10,18,28,,,,,13,1,12,13,,,,,21,11,17,28,,,,,2,1,0,1,,,,
,LickMyStickLisa,Skater,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Lucifumu,Skater,,,,,,,,,,,,,,,,,11,1,13,14,,,,,3,1,4,5,,,,
,Maatta,Skater,,,,,,,,,,,,,,,,,1,0,0,0,,,,,,,,,,,,
,mama,Goalie,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
name:Jarry,Marsamune,Skater/Goalie,,,,,19,132,1.63,0.81,,,,,13,99,1.08,0.876,3,0,4,4,19,134,1.73,0.802,,,,,,,,
,Maverick,Goalie,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Miku,Skater/Goalie,9,0,13,13,13,77,1.31,0.819,1,0,0,0,1,8,5,0.615,16,0,7,7,1,2,1,0.667,,,,,,,,
,milk,Skater/Goalie,,,,,22,166,1.64,0.822,,,,,4,43,1.75,0.86,1,0,9,9,18,138,1.21,0.863,,,,,7,47,0.28,0.959
,MissTheNetMarge,Skater,,,,,,,,,,,,,,,,,6,0,4,4,,,,,,,,,,,,
,Mobys,Skater,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,moose,Skater,22,15,12,27,,,,,,,,,,,,,18,25,15,40,,,,,,,,,,,,
,Mushy,Skater,9,3,10,13,,,,,,,,,,,,,8,2,2,4,,,,,,,,,,,,
,Nakamura,Skater/Goalie,,,,,12,95,2.25,0.779,,,,,,,,,,0,3,3,6,28,1.32,0.778,,,,,,,,
,Nem,Skater,,,,,,,,,,,,,,,,,17,1,18,19,,,,,,,,,,,,
,Niemi,Goalie,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Oettinger,Skater/Goalie,,,,,,,,,,,,,,,,,1,0,1,1,14,113,2.65,0.748,,,,,,,,
,OfficeLAMP,Skater,,,,,,,,,,,,,,,,,8,1,1,2,,,,,,,,,,,,
,Oodoo,Skater,,,,,,,,,,,,,,,,,3,0,2,2,,,,,,,,,,,,
,placenta,Skater,,,,,,,,,,,,,,,,,15,1,8,9,,,,,,,,,,,,
,Pogba,Skater,9,1,3,4,,,,,,,,,,,,,20,12,11,23,,,,,,,,,,,,
,Poro,Skater,26,10,16,26,,,,,2,1,1,2,,,,,20,12,20,32,,,,,2,2,0,2,,,,
,PrayForLeslie,Skater,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,pretty,Skater/Goalie,21,4,10,14,1,8,1,0.889,2,1,2,3,,,,,23,16,23,39,,,,,6,5,4,9,,,,
,Puff,Goalie,,,,,,,,,,,,,,,,,,,,,11,82,2.38,0.752,,,,,,,,
,Pyros,Skater,25,15,27,42,,,,,12,4,10,14,,,,,18,4,14,18,,,,,,,,,,,,
,Quick,Skater/Goalie,,0,1,1,13,59,1.62,0.738,,,,,,,,,1,0,7,7,19,111,1.62,0.776,,0,1,1,8,56,1.29,0.836
,robertthomas,Skater,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ronin,Skater,,,,,,,,,,,,,,,,,17,4,14,18,,,,,8,1,6,7,,,,
name:Anvil,ScottStevens,Skater,,,,,,,,,,,,,,,,,24,3,26,29,,,,,6,0,4,4,,,,
,Sho,Skater/Goalie,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,SoCanadian,Skater,17,14,10,24,,,,,5,2,4,6,,,,,10,6,5,11,,,,,,,,,,,,
,Son,Skater,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Sorg,Goalie,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,spantch,Skater,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Stinger,Skater,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,stinkyshawn,Skater,25,11,28,39,,,,,5,5,3,8,,,,,23,15,15,30,,,,,8,4,5,9,,,,
,Sundin,Goalie,,,,,,,,,,,,,,,,,,,,,6,38,1.34,0.844,,,,,,,,
,SupaWoov,Skater,19,2,15,17,,,,,12,0,9,9,,,,,6,0,4,4,,,,,,,,,,,,
,Sven,Skater,,,,,,,,,,,,,,,,,2,1,0,1,,,,,,,,,,,,
,THESWAGMAN,Skater,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ThrockMorton,Skater/Goalie,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,tov,Goalie,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,TSUJIMOTO,Skater,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ttearr,Goalie,,,,,,,,,,,,,,,,,,,,,6,58,2.17,0.817,,,,,,,,
,TTVSkitsArk,Skater,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,v,Skater,,,,,,,,,,,,,,,,,21,6,37,43,,,,,8,2,3,5,,,,
,vxpr,Skater,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,walker,Skater,13,0,8,8,,,,,,,,,,,,,24,2,44,46,,,,,8,1,6,7,,,,
,Weariertomato,Goalie,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Winky,Skater,,,,,,,,,,,,,,,,,2,0,1,1,,,,,,,,,,,,
,Wooyoungmi,Skater,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,yune,Skater/Goalie,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ZambonaldTrump,Goalie,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ZDawg,Skater,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Zen,Goalie,,,,,21,191,1.81,0.834,,,,,3,24,1,0.889,,,,,22,155,1.36,0.833,,,,,3,20,2.33,0.741
,Ziggy,Skater,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
